SiteID,Sitename2,Sitename3,WA_County,Lat,Long,LCC_E_km,LCC_N_km,AP3_XCell,AP3_YCell,AP4_XCell,AP4_YCell
530110011,Vancouver_Blairmont_Dr,VBm,Clark,45.61661675,-122.5166183,-114.2343971,-362.3923422,19,50,57,145
530110013,Vancouver_4pln,V4P,Clark,45.64830825,-122.586911,-119.4608704,-358.8886529,19,50,56,146
530110019,Vancouver_McA,VmA,Clark,45.623889,-122.611944,-121.3978455,-361.4716132,19,50,56,146
530110020,Camas,Cms,Clark,,,,,,,,
530110022,Yacolt,Ykl,Clark,45.86485775,-122.4111535,-105.8217986,-335.8952751,20,52,60,152
530110023,Vancouver_NEVancPlz,,Clark,45.64987,-122.5901,-119.6976,-358.7163,19,50,56,146
530130001,Starbuck,Stb,Columbia,46.53152,-118.2167,206.1995961,-261.674171,46,58,138,171
530130002,Dayton,Dtn,Whitman,46.318,-117.985,224.2203,-283.9603813,48,56,142,165
530150013,Woodland,Wdl,Clark,45.893611,-122.788333,-134.0331804,-332.2443771,18,52,52,153
530150015,Longview,Lgv,Cowlitz,46.139411,-122.961911,-146.3935815,-305.5614788,17,55,49,160
530210002,Mesa,Mes,Franklin,46.57544925,-119.0017513,147.9361469,-258.6959378,41,58,123,171
530251002,Moses_Lake,MsL,Grant,47.130309,-119.2725995,126.6023158,-199.5931705,40,63,118,186
530270008,Oakville,Oak,Grays_Harbor_Chehalis_Tribe,46.81749925,-123.1928735,-161.6295342,-232.3383179,16,61,46,178
530270011,Taholah,Thl,Grays_Harbor_Quinault_Tribe,47.306444,-124.2619008,-238.2486698,-177.186683,9,65,26,192
530272002,Aberdeen,Abd,Grays_Harbor,46.976074,-123.8313928,-208.073169,-213.8434793,12,62,34,183
530299999,Oak_Harbor,,,48.294399,-122.660004,-119.0702216,-74.64653086,19,74,56,217
530310003,Port_Townsend,PtT,Jefferson,48.12918675,-122.779036,-128.0014968,-92.21780386,18,72,54,213
530330004,Bellvue_West_Wheeler,Blv_WW,King,,,,,,,,
530330010,Issaquah,Isq,King,47.5525,-122.064722,-77.43482517,-155.0941129,23,67,67,197
530330017,North_Bend,NBd,King,47.4900805,-121.772856,-56.27358744,-162.0430961,24,66,72,195
530330021,Seattle_South_Park_S1,SS1,King,,,,,,,,
530330023,Enumclaw,Enm,King,47.14110425,-121.9366868,-68.64058208,-199.398075,23,63,69,186
530330024,Lake_Forest_Park,Lfp,King,47.75500075,-122.2806015,-92.78602672,-133.1102018,21,69,63,203
530330027,Redmond,Red,King,,,,,,,,
530330028,Woodinville,Wdv,King,47.754,-122.161,-84.12249393,-133.3498624,22,69,65,203
530330032,Georgetown,Gtn,King,,,,,,,,
530330033,Kent_Smith,KtS,King,,,,,,,,
530330037,Bellevue,Blv,King,47.613014,-122.2016918,-87.29803884,-148.4525649,22,68,64,199
530330038,Seattle_Maple_Leaf,Mpl,King,,,,,,,,
530330039,Seattle_QA_Hill,QAH,King,47.63309925,-122.3628008,-98.96416029,-146.1075141,21,68,61,199
530330048,Seattle_Olive,Olv,King,47.61529925,-122.3300015,-96.61432778,-148.0596978,21,68,62,199
530330057,Seattle_Duwamish,Dwm,King,47.5623,-122.3405,-97.47222658,-153.7401434,21,67,62,198
530330080,Seattle_Beacon_Hill,BH,King,47.5682325,-122.3068913,-95.01823847,-153.1432888,21,67,62,198
